ID,Name,Type,Brand,Model Name,Category,Price,Quantity,Power Consumption (W),Color,Weight (kg),Width (cm),Height (cm),Depth (cm),Voltage (V)
87001,Bosch Oven, Oven, Bosch, HBG634BS1B, Kitchen Appliances, 599.99, 5, 2800, Stainless Steel, 40, 59.5, 59.5, 54.8, 220-240
87002,Whirlpool Oven, Oven, Whirlpool, AKZ96230NB, Kitchen Appliances, 549.99, 4, 2500, Black, 38, 59.5, 59.5, 56.4, 220-240
87003,Siemens Oven, Oven, Siemens, HB676GBS6B, Kitchen Appliances, 699.99, 3, 2700, Stainless Steel, 42, 59.5, 59.5, 54.8, 220-240
87004,AEG Oven, Oven, AEG, BSE792320M, Kitchen Appliances, 799.99, 4, 2900, Stainless Steel, 44, 59.5, 59.5, 56.7, 220-240
87005,Hotpoint Oven, Oven, Hotpoint, SI4 854 P IX, Kitchen Appliances, 499.99, 5, 2600, Stainless Steel, 41, 59.5, 59.5, 56.4, 220-240
87006,Indesit Oven, Oven, Indesit, IFW6340BL, Kitchen Appliances, 399.99, 6, 2300, Black, 36, 59.5, 59.5, 55.1, 220-240
87007,Samsung Oven, Oven, Samsung, NV75N5641RS, Kitchen Appliances, 649.99, 3, 2700, Stainless Steel, 43, 59.5, 59.5, 56.6, 220-240
87008,LG Oven, Oven, LG, B5450PZC, Kitchen Appliances, 579.99, 4, 2600, Stainless Steel, 39, 59.5, 59.5, 56.7, 220-240
87009,Candy Oven, Oven, Candy, FCP602X, Kitchen Appliances, 329.99, 7, 2200, Stainless Steel, 35, 59.5, 59.5, 56.7, 220-240
87010,Zanussi Oven, Oven, Zanussi, ZOP37982XK, Kitchen Appliances, 449.99, 5, 2400, Stainless Steel, 38, 59.4, 59.5, 56.7, 220-240